SYMBOL,TIME FRAME,MAGIC,AVG CANDLE,ACTION,TP,SL,METHOD,DATA,RESULT,AMOUNT
USDJPY,M1,1436,0.019285714,buy,38.57142857,38.57142857,fibonacci_price_action,,W,
USDJPY,M1,1443,0.022,sell,44,44,fibonacci_price_action,,W,
USDJPY,M1,1448,0.015285714,sell,30.57142857,30.57142857,fibonacci_price_action,,W,
USDJPY,M1,1457,0.008571429,sell,17.14285714,17.14285714,fibonacci_price_action,,W,
USDJPY,M1,1465,0.011285714,buy,22.57142857,22.57142857,fibonacci_price_action,,W,
USDJPY,M1,1477,0.010571429,sell,21.14285714,21.14285714,fibonacci_price_action,,L,
USDJPY,M1,1479,0.016142857,sell,32.28571429,32.28571429,fibonacci_price_action,,W,
USDJPY,M1,1488,0.014571429,buy,29.14285714,29.14285714,fibonacci_price_action,,W,
USDJPY,M1,1495,0.019428571,buy,38.85714286,38.85714286,fibonacci_price_action,,L,
USDJPY,M1,1498,0.022714286,sell,45.42857143,45.42857143,fibonacci_price_action,,L,
USDJPY,M1,1502,0.027714286,buy,55.42857143,55.42857143,fibonacci_price_action,,W,
USDJPY,M1,1507,0.038857143,sell,77.71428571,77.71428571,fibonacci_price_action,,L,
USDJPY,M1,1519,0.029571429,buy,59.14285714,59.14285714,fibonacci_price_action,,W,
USDJPY,M1,1528,0.019285714,buy,38.57142857,38.57142857,fibonacci_price_action,,L,
USDJPY,M1,1529,0.024,buy,48,48,fibonacci_price_action,,L,
USDJPY,M1,1533,0.026714286,sell,53.42857143,53.42857143,fibonacci_price_action,,L,
USDJPY,M1,1536,0.025142857,buy,50.28571429,50.28571429,fibonacci_price_action,,W,
USDJPY,M1,1538,0.012857143,sell,25.71428571,25.71428571,fibonacci_price_action,,L,
USDJPY,M1,1539,0.012571429,buy,25.14285714,25.14285714,fibonacci_price_action,,L,
USDJPY,M1,1547,0.014428571,sell,28.85714286,28.85714286,fibonacci_price_action,,W,
USDJPY,M1,1571,0.025142857,buy,50.28571429,50.28571429,fibonacci_price_action,,L,
USDJPY,M1,1574,0.022142857,sell,44.28571429,44.28571429,fibonacci_price_action,,W,
USDJPY,M1,1582,0.016285714,sell,32.57142857,32.57142857,fibonacci_price_action,,L,
USDJPY,M1,1590,0.028142857,sell,56.28571429,56.28571429,fibonacci_price_action,,W,
USDJPY,M1,1593,0.021857143,sell,43.71428571,43.71428571,fibonacci_price_action,,W,
USDJPY,M1,1596,0.016857143,buy,33.71428571,33.71428571,fibonacci_price_action,,L,
USDJPY,M1,1598,0.021,buy,42,42,fibonacci_price_action,,W,
USDJPY,M1,1632,0.039285714,sell,78.57142857,78.57142857,fibonacci_price_action,,L,
USDJPY,M1,1635,0.052857143,buy,105.7142857,105.7142857,fibonacci_price_action,,L,
USDJPY,M1,1643,0.024571429,sell,49.14285714,49.14285714,fibonacci_price_action,,W,
USDJPY,M1,1646,0.029428571,buy,58.85714286,58.85714286,fibonacci_price_action,,L,
XAUUSD,M1,1225,0.179714286,buy,359.4285714,359.4285714,fibonacci_price_action,,L,
