,time,open,high,low,close,tick_volume,spread,real_volume,Previous_High,Previous_Low,BOS_Up,BOS_Down,BOS_Signal
84,1743045300,3031.347,3031.952,3030.8,3030.947,512,112,0,3032.159,3029.678,False,False,No BOS
85,1743045600,3031.021,3032.389,3030.953,3031.402,476,112,0,3032.159,3029.678,False,False,No BOS
86,1743045900,3031.365,3032.031,3030.928,3031.929,535,112,0,3032.389,3029.678,False,False,No BOS
87,1743046200,3031.925,3032.596,3031.3,3031.357,377,111,0,3032.389,3029.678,False,False,No BOS
88,1743046500,3031.406,3032.236,3030.962,3032.236,357,112,0,3032.596,3030.097,False,False,No BOS
89,1743046800,3032.283,3033.62,3031.883,3032.536,503,112,0,3032.596,3030.8,False,False,No BOS
90,1743047100,3032.569,3033.087,3032.202,3032.438,316,112,0,3033.62,3030.928,False,False,No BOS
91,1743047400,3032.422,3033.235,3032.306,3033.094,284,112,0,3033.62,3030.928,False,False,No BOS
92,1743047700,3033.091,3034.31,3032.953,3033.592,425,111,0,3033.62,3030.962,False,False,No BOS
93,1743048000,3033.634,3033.9,3033.047,3033.856,334,112,0,3034.31,3030.962,False,False,No BOS
94,1743048300,3033.927,3035.948,3033.502,3035.046,483,112,0,3034.31,3031.883,True,False,Bullish BOS
95,1743048600,3035.084,3035.708,3034.367,3035.077,509,112,0,3035.948,3032.202,False,False,No BOS
96,1743048900,3035.046,3035.418,3034.378,3035.243,434,111,0,3035.948,3032.306,False,False,No BOS
97,1743049200,3035.218,3035.89,3034.569,3035.882,401,111,0,3035.948,3032.953,False,False,No BOS
98,1743049500,3035.888,3037.511,3035.777,3037.202,529,111,0,3035.948,3033.047,True,False,Bullish BOS
99,1743049800,3037.175,3037.819,3036.666,3037.286,641,112,0,3037.511,3033.502,False,False,No BOS
100,1743050100,3037.293,3038.656,3035.906,3035.906,567,112,0,3037.819,3034.367,False,False,No BOS
101,1743050400,3035.88,3036.077,3034.435,3034.633,582,112,0,3038.656,3034.378,False,False,No BOS
102,1743050700,3034.583,3034.886,3032.247,3032.488,682,112,0,3038.656,3034.435,False,True,Bearish BOS
103,1743051000,3032.483,3033.779,3031.777,3033.551,484,112,0,3038.656,3032.247,False,False,No BOS
104,1743051300,3033.488,3034.383,3033.306,3034.088,510,112,0,3038.656,3031.777,False,False,No BOS
105,1743051600,3034.124,3034.837,3033.539,3033.539,417,112,0,3038.656,3031.777,False,False,No BOS
106,1743051900,3033.532,3034.394,3032.118,3032.531,517,112,0,3036.077,3031.777,False,False,No BOS
107,1743052200,3032.49,3033.897,3031.677,3033.897,461,112,0,3034.886,3031.777,False,False,No BOS
108,1743052500,3033.852,3035.42,3033.606,3035.321,589,111,0,3034.837,3031.677,True,False,Bullish BOS
109,1743052800,3035.348,3035.931,3034.424,3034.424,451,112,0,3035.42,3031.677,False,False,No BOS
110,1743053100,3034.437,3034.437,3032.49,3032.49,432,112,0,3035.931,3031.677,False,False,No BOS
111,1743053400,3032.518,3033.711,3031.591,3033.488,577,112,0,3035.931,3031.677,False,False,No BOS
112,1743053700,3033.494,3035.065,3032.323,3034.797,690,111,0,3035.931,3031.591,False,False,No BOS
113,1743054000,3034.853,3035.515,3033.152,3033.202,725,112,0,3035.931,3031.591,False,False,No BOS
114,1743054300,3033.177,3033.238,3031.563,3032.409,488,112,0,3035.931,3031.591,False,False,No BOS
115,1743054600,3032.381,3032.73,3030.588,3030.943,620,112,0,3035.515,3031.563,False,True,Bearish BOS
116,1743054900,3030.976,3031.726,3029.375,3029.724,710,112,0,3035.515,3030.588,False,True,Bearish BOS
117,1743055200,3029.732,3032.028,3027.908,3032.019,796,111,0,3035.515,3029.375,False,False,No BOS
118,1743055500,3032.023,3033.298,3029.075,3029.482,744,112,0,3035.515,3027.908,False,False,No BOS
119,1743055800,3029.456,3030.619,3028.427,3030.212,755,112,0,3033.298,3027.908,False,False,No BOS
120,1743056100,3030.224,3031.04,3029.241,3029.802,672,112,0,3033.298,3027.908,False,False,No BOS
121,1743056400,3029.867,3030.225,3028.828,3028.986,760,111,0,3033.298,3027.908,False,False,No BOS
122,1743056700,3028.873,3029.429,3027.49,3027.983,819,112,0,3033.298,3027.908,False,False,No BOS
123,1743057000,3027.93,3028.738,3027.631,3028.226,897,112,0,3033.298,3027.49,False,False,No BOS
124,1743057300,3028.26,3028.668,3027.379,3027.754,681,112,0,3031.04,3027.49,False,False,No BOS
125,1743057600,3027.837,3028.346,3027.563,3027.836,672,112,0,3031.04,3027.379,False,False,No BOS
126,1743057900,3027.833,3028.97,3026.699,3028.662,876,112,0,3030.225,3027.379,False,False,No BOS
127,1743058200,3028.67,3030.116,3028.67,3030.027,721,112,0,3029.429,3026.699,True,False,Bullish BOS
128,1743058500,3029.991,3030.343,3028.275,3029.942,985,111,0,3030.116,3026.699,False,False,No BOS
129,1743058800,3030.004,3031.616,3029.238,3031.096,796,112,0,3030.343,3026.699,True,False,Bullish BOS
130,1743059100,3031.131,3034.2,3031.131,3033.04,825,112,0,3031.616,3026.699,True,False,Bullish BOS
131,1743059400,3033.08,3033.593,3030.979,3031.697,698,112,0,3034.2,3026.699,False,False,No BOS
132,1743059700,3031.678,3032.662,3030.976,3032.012,713,112,0,3034.2,3028.275,False,False,No BOS
133,1743060000,3031.999,3032.478,3031.026,3031.502,676,111,0,3034.2,3028.275,False,False,No BOS
134,1743060300,3031.534,3031.845,3030.868,3031.217,729,112,0,3034.2,3029.238,False,False,No BOS
135,1743060600,3031.252,3031.402,3029.629,3030.282,695,112,0,3034.2,3030.868,False,True,Bearish BOS
136,1743060900,3030.33,3032.506,3030.305,3032.462,595,112,0,3033.593,3029.629,False,False,No BOS
137,1743061200,3032.46,3033.723,3032.186,3033.497,638,112,0,3032.662,3029.629,True,False,Bullish BOS
138,1743061500,3033.502,3035.477,3032.501,3034.053,983,112,0,3033.723,3029.629,True,False,Bullish BOS
139,1743061800,3034.142,3036.697,3033.664,3035.97,1385,112,0,3035.477,3029.629,True,False,Bullish BOS
140,1743062100,3035.917,3036.767,3035.578,3035.874,1043,111,0,3036.697,3029.629,False,False,No BOS
141,1743062400,3035.851,3036.589,3034.332,3036.542,1307,112,0,3036.767,3030.305,False,False,No BOS
142,1743062700,3036.548,3037.692,3035.708,3037.423,973,112,0,3036.767,3032.186,True,False,Bullish BOS
143,1743063000,3037.449,3037.889,3036.243,3037.529,807,112,0,3037.692,3032.501,False,False,No BOS
144,1743063300,3037.504,3037.584,3036.438,3037.071,598,112,0,3037.889,3033.664,False,False,No BOS
145,1743063600,3037.076,3038.052,3035.467,3036.454,736,112,0,3037.889,3034.332,False,False,No BOS
146,1743063900,3036.461,3037.012,3035.438,3036.169,687,112,0,3038.052,3034.332,False,False,No BOS
147,1743064200,3036.145,3036.766,3034.607,3034.657,583,112,0,3038.052,3035.438,False,True,Bearish BOS
148,1743064500,3034.72,3035.258,3033.894,3034.476,685,112,0,3038.052,3034.607,False,True,Bearish BOS
149,1743064800,3034.436,3034.811,3033.798,3033.985,664,112,0,3038.052,3033.894,False,False,No BOS
150,1743065100,3033.959,3035.971,3033.783,3035.899,594,112,0,3038.052,3033.798,False,False,No BOS
151,1743065400,3035.94,3037.461,3035.94,3037.054,869,112,0,3037.012,3033.783,True,False,Bullish BOS
152,1743065700,3037.166,3037.378,3035.52,3036.179,659,112,0,3037.461,3033.783,False,False,No BOS
153,1743066000,3036.169,3038.396,3035.479,3037.208,689,112,0,3037.461,3033.783,False,False,No BOS
154,1743066300,3037.204,3037.204,3035.918,3036.902,486,112,0,3038.396,3033.783,False,False,No BOS
155,1743066600,3036.95,3037.264,3036.458,3036.531,407,112,0,3038.396,3033.783,False,False,No BOS
156,1743066900,3036.545,3036.81,3035.374,3036.713,558,112,0,3038.396,3035.479,False,False,No BOS
157,1743067200,3036.657,3037.041,3035.296,3035.508,473,111,0,3038.396,3035.374,False,False,No BOS
158,1743067500,3035.483,3035.933,3034.625,3035.786,575,112,0,3038.396,3035.296,False,False,No BOS
159,1743067800,3035.854,3036.07,3035.082,3036.0,556,112,0,3037.264,3034.625,False,False,No BOS
160,1743068100,3036.001,3036.768,3035.985,3036.084,327,112,0,3037.264,3034.625,False,False,No BOS
161,1743068400,3036.095,3036.669,3034.648,3035.737,513,111,0,3037.041,3034.625,False,False,No BOS
162,1743068700,3035.663,3037.353,3035.048,3037.353,493,112,0,3037.041,3034.625,True,False,Bullish BOS
163,1743069000,3037.35,3038.44,3037.115,3037.979,395,111,0,3037.353,3034.625,True,False,Bullish BOS
164,1743069300,3037.999,3041.065,3037.923,3039.949,726,112,0,3038.44,3034.648,True,False,Bullish BOS
165,1743069600,3040.053,3043.227,3039.821,3041.637,990,112,0,3041.065,3034.648,True,False,Bullish BOS
166,1743069900,3041.627,3046.227,3041.573,3044.99,1045,112,0,3043.227,3034.648,True,False,Bullish BOS
167,1743070200,3045.022,3046.722,3045.022,3046.023,1019,112,0,3046.227,3035.048,False,False,No BOS
168,1743070500,3046.023,3050.794,3046.023,3049.805,1130,111,0,3046.722,3037.115,True,False,Bullish BOS
169,1743070800,3049.741,3050.97,3047.302,3050.901,1047,111,0,3050.794,3037.923,True,False,Bullish BOS
170,1743071100,3050.867,3053.453,3050.501,3052.102,1035,112,0,3050.97,3039.821,True,False,Bullish BOS
171,1743071400,3052.126,3054.647,3050.936,3052.972,1406,112,0,3053.453,3041.573,False,False,No BOS
172,1743071700,3053.009,3055.922,3052.355,3052.355,1242,112,0,3054.647,3045.022,False,False,No BOS
173,1743072000,3052.408,3054.447,3051.823,3052.433,1062,112,0,3055.922,3046.023,False,False,No BOS
174,1743072300,3052.427,3054.401,3051.455,3054.239,988,112,0,3055.922,3047.302,False,False,No BOS
175,1743072600,3054.269,3054.686,3052.674,3052.893,974,112,0,3055.922,3050.501,False,False,No BOS
