,time,open,high,low,close,tick_volume,spread,real_volume,symbol
25177,1729009620,1.08935,1.08937,1.08927,1.0893,36,6,0,EURUSD
25178,1729009680,1.0893,1.08945,1.0893,1.08932,42,6,0,EURUSD
25179,1729009740,1.08933,1.0895,1.08933,1.08945,33,6,0,EURUSD
25180,1729009800,1.08946,1.08948,1.08935,1.08937,28,6,0,EURUSD
25181,1729009860,1.08937,1.08939,1.08932,1.08935,25,6,0,EURUSD
25182,1729009920,1.08935,1.08945,1.08935,1.08941,31,6,0,EURUSD
25183,1729009980,1.08942,1.08949,1.08942,1.08942,20,6,0,EURUSD
25184,1729010040,1.08942,1.08947,1.0893,1.08931,26,6,0,EURUSD
25185,1729010100,1.08931,1.08932,1.08923,1.08924,22,6,0,EURUSD
25186,1729010160,1.08927,1.08927,1.08924,1.08925,13,6,0,EURUSD
25187,1729010220,1.08925,1.08934,1.08924,1.08929,23,6,0,EURUSD
25188,1729010280,1.0893,1.08937,1.0893,1.08932,31,6,0,EURUSD
25189,1729010340,1.08931,1.0894,1.08928,1.08929,23,6,0,EURUSD
25190,1729010400,1.08929,1.08933,1.08922,1.08928,17,6,0,EURUSD
25191,1729010460,1.08928,1.08929,1.08919,1.08928,31,6,0,EURUSD
25192,1729010520,1.08928,1.08929,1.08921,1.08924,16,6,0,EURUSD
25193,1729010580,1.08924,1.08926,1.08921,1.08923,26,6,0,EURUSD
25194,1729010640,1.08924,1.08928,1.08917,1.08917,22,6,0,EURUSD
25195,1729010700,1.08919,1.0892,1.08906,1.08906,34,6,0,EURUSD
25196,1729010760,1.0890900000000001,1.08913,1.08907,1.0890900000000001,13,6,0,EURUSD
25197,1729010820,1.0890900000000001,1.08914,1.08899,1.08901,21,6,0,EURUSD
25198,1729010880,1.08901,1.08914,1.08901,1.08913,27,6,0,EURUSD
25199,1729010940,1.08913,1.08914,1.0891,1.0891,14,6,0,EURUSD
25200,1729011000,1.0891,1.08914,1.0890900000000001,1.0891,17,6,0,EURUSD
25201,1729011060,1.0891,1.08915,1.0891,1.08915,24,6,0,EURUSD
25202,1729011120,1.08913,1.08924,1.08913,1.08923,24,6,0,EURUSD
25203,1729011180,1.08924,1.08924,1.08916,1.08918,21,6,0,EURUSD
25204,1729011240,1.08918,1.0892,1.08916,1.08918,13,6,0,EURUSD
25205,1729011300,1.08918,1.0892,1.08914,1.08918,17,6,0,EURUSD
25206,1729011360,1.08918,1.08919,1.0891,1.08918,24,6,0,EURUSD
25207,1729011420,1.08918,1.0892,1.08916,1.08919,11,6,0,EURUSD
25208,1729011480,1.08921,1.08921,1.08905,1.0890900000000001,31,6,0,EURUSD
25209,1729011540,1.08908,1.08908,1.08891,1.0889199999999999,26,6,0,EURUSD
25210,1729011600,1.08894,1.08904,1.08884,1.08899,41,6,0,EURUSD
25211,1729011660,1.08899,1.08899,1.0889199999999999,1.08894,22,6,0,EURUSD
